experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220630 235255	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.277056618221686	0.585277161101112	589	93	155	0.000180613290167781	10834	10886000	12
8101HTa	20220630 235344	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.137662147222436	0.326340661995346	476	7196	64	0.021591674230404	9314	13966000	13
8101HTa	20220630 235505	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0739846953656524	0.951967658573994	121	2069	57	0.0157070775639532	10756	14444000	14
8101HTa	20220630 235908	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0256584717152873	0.193567493767478	833	1788	380	0.0116525966771955	10518	15042000	15
8101HTa	20220701 000103	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.239024838924524	0.926109886700578	663	6186	118	0.00570142764275975	12364	12836000	16
8101HTa	20220701 000222	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0351047377159229	0.195094604652347	833	4247	254	0.014168938665684	11406	14274000	17
8101HTa	20220701 000421	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0217406011854527	0.217434599042959	998	1113	242	0.0119011871896327	11944	14816000	18
8101HTa	20220701 000530	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0204917987427167	0.117526393841498	16	2077	898	0.0143013117509784	11692	14348000	19
8101HTa	20220701 000604	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0519312531969045	0.107465211627275	16	7999	334	0.0181996312885094	10050	13590000	20
8101HTa	20220701 000819	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0496019442648322	0.375459545922771	406	2164	337	0.00577518590110771	10752	13728000	21
8101HTa	20220701 000950	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200026391390944	0.121224006560541	809	410	289	0.0124540224764521	9284	14596000	22
8101HTa	20220701 001221	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200553485862908	0.297954503616214	843	1519	312	0.0119260940007803	11986	14894000	23
8101HTa	20220701 001322	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0429385446277194	0.100521095859935	912	1808	186	0.0209480044257453	8290	13790000	24
8101HTa	20220701 001602	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200079367302284	0.214651411169667	711	1701	542	0.0104826362402658	10330	14750000	25
8101HTa	20220701 001706	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.171589862390707	0.27118774901237	355	6237	201	0.00689792823874015	11000	13240000	26
8101HTa	20220701 001819	186	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.134949501094119	0.494798025721332	267	4108	43	0.01893126797934	9650	13870000	27
